Country;Region;Happiness Rank;Score;GPD;Family;Health;Freedom;Government Corruption;Generosity;Dystopia Residual
Laos;Southeastern Asia;102;4.876;0.68042;0.5497;0.38291;0.52168;0.22423;0.43079;208.637
Nigeria;Sub-Saharan Africa;103;4.875;0.75216;0.64498;0.05108;0.27854;0.0305;0.23219;288.586
Honduras;Latin America and Caribbean;104;4.871;0.69429;0.75596;0.58383;0.26755;0.06906;0.2044;229.551
Iran;Middle East and Northern Africa;105;4.813;111.758;0.38857;0.64232;0.22544;0.0557;0.38538;199.817
Zambia;Sub-Saharan Africa;106;4.795;0.61202;0.6376;0.23573;0.42662;0.11479;0.17866;258.991
Nepal;Southern Asia;107;4.793;0.44626;0.69699;0.50073;0.37012;0.07008;0.3816;232.694
Palestinian Territories;Middle East and Northern Africa;108;4.754;0.67024;0.71629;0.56844;0.17744;0.10613;0.11154;240.364
Albania;Central and Eastern Europe;109;4.655;0.9553;0.50163;0.73007;0.31866;0.05301;0.1684;192.816
Bangladesh;Southern Asia;110;4.643;0.54177;0.24749;0.52989;0.39778;0.12583;0.19132;260.904
Sierra Leone;Sub-Saharan Africa;111;4.635;0.36485;0.628;0;0.30685;0.08196;0.23897;301.402
Iraq;Middle East and Northern Africa;112;4.575;107.474;0.59205;0.51076;0.24856;0.13636;0.19589;181.657
Namibia;Sub-Saharan Africa;113;4.574;0.93287;0.70362;0.34745;0.48614;0.10398;0.07795;192.198
Cameroon;Sub-Saharan Africa;114;4.513;0.52497;0.62542;0.12698;0.42736;0.06126;0.2268;25.198
Ethiopia;Sub-Saharan Africa;115;4.508;0.29283;0.37932;0.34578;0.36703;0.1717;0.29522;265.614
South Africa;Sub-Saharan Africa;116;4.459;102.416;0.96053;0.18611;0.42483;0.08415;0.13656;164.227
Sri Lanka;Southern Asia;117;4.415;0.97318;0.84783;0.62007;0.50817;0.07964;0.46978;0.91681
India;Southern Asia;118;4.404;0.74036;0.29247;0.45091;0.40285;0.08722;0.25028;218.032
Myanmar;Southeastern Asia;119;4.395;0.34112;0.69981;0.3988;0.42692;0.20243;0.81971;150.655
Egypt;Middle East and Northern Africa;120;4.362;0.95395;0.49813;0.52116;0.18847;0.10393;0.12706;196.895
Armenia;Central and Eastern Europe;121;apr.36;0.86086;0.62477;0.64083;0.14037;0.03616;0.07793;197.864
Kenya;Sub-Saharan Africa;122;4.356;0.52267;0.7624;0.30147;0.40576;0.06686;0.41328;188.326
Ukraine;Central and Eastern Europe;123;4.324;0.87287;101.413;0.58628;0.12859;0.01829;0.20363;150.066
Ghana;Sub-Saharan Africa;124;4.276;0.63107;0.49353;0.29681;0.40973;0.0326;0.21203;22.002
Congo (Kinshasa);Sub-Saharan Africa;125;4.272;0.05661;0.80676;0.188;0.15602;0.06075;0.25458;274.924
Georgia;Central and Eastern Europe;126;4.252;0.83792;0.19249;0.64035;0.32461;0.3188;0.06786;187.031
Congo (Brazzaville);Sub-Saharan Africa;127;4.236;0.77109;0.47799;0.28212;0.37938;0.09753;0.12077;210.681
Senegal;Sub-Saharan Africa;128;4.219;0.44314;0.77416;0.40457;0.31056;0.11681;0.19103;197.861
Bulgaria;Central and Eastern Europe;129;4.217;111.306;0.92542;0.67806;0.21219;0.00615;0.12793;115.377
Mauritania;Sub-Saharan Africa;130;4.201;0.61391;0.84142;0.28639;0.1268;0.17955;0.22686;19.263
Zimbabwe;Sub-Saharan Africa;131;4.193;0.35041;0.71478;0.1595;0.25429;0.08582;0.18503;24.427
Malawi;Sub-Saharan Africa;132;4.156;0.08709;0.147;0.29364;0.4143;0.07564;0.30968;282.859
Sudan;Sub-Saharan Africa;133;4.139;0.63069;0.81928;0.29759;0;0.10039;0.18077;210.995
Gabon;Sub-Saharan Africa;134;4.121;115.851;0.72368;0.3494;0.28098;0.09314;0.06244;145.332
Mali;Sub-Saharan Africa;135;4.073;0.31292;0.86333;0.16347;0.27544;0.13647;0.21064;211.087
Haiti;Latin America and Caribbean;136;4.028;0.34097;0.29561;0.27494;0.12072;0.14476;0.47958;237.116
Botswana;Sub-Saharan Africa;137;3.974;109.426;0.89186;0.34752;0.44089;0.10769;0.12425;0.96741
Comoros;Sub-Saharan Africa;138;3.956;0.27509;0.60323;0.29981;0.15412;0.18437;0.1827;225.632
Ivory Coast;Sub-Saharan Africa;139;3.916;0.55507;0.57576;0.04476;0.40663;0.1553;0.20338;197.478
Cambodia;Southeastern Asia;140;3.907;0.55604;0.5375;0.42494;0.58852;0.08092;0.40339;131.573
Angola;Sub-Saharan Africa;141;3.866;0.84731;0.66366;0.04991;0.00589;0.08434;0.12071;209.459
Niger;Sub-Saharan Africa;142;3.856;0.1327;0.6053;0.26162;0.38041;0.17176;0.2097;209.469
South Sudan;Sub-Saharan Africa;143;3.832;0.39394;0.18519;0.15781;0.19662;0.13015;0.25899;250.929
Chad;Sub-Saharan Africa;144;3.763;0.42214;0.63178;0.03824;0.12807;0.04952;0.18667;230.637
Burkina Faso;Sub-Saharan Africa;145;3.739;0.31995;0.63054;0.21297;0.3337;0.12533;0.24353;187.319
Uganda;Sub-Saharan Africa;145;3.739;0.34719;0.90981;0.19625;0.43653;0.06442;0.27102;151.416
Yemen;Middle East and Northern Africa;147;3.724;0.57939;0.47493;0.31048;0.2287;0.05892;0.09821;197.295
Madagascar;Sub-Saharan Africa;148;3.695;0.27954;0.46115;0.37109;0.13684;0.07506;0.2204;215.075
Tanzania;Sub-Saharan Africa;149;3.666;0.47155;0.77623;0.357;0.3176;0.05099;0.31472;137.769
Liberia;Sub-Saharan Africa;150;3.622;0.10706;0.50353;0.23165;0.25748;0.04852;0.24063;223.284
Guinea;Sub-Saharan Africa;151;3.607;0.22415;0.3109;0.18829;0.30953;0.1192;0.29914;215.604
Rwanda;Sub-Saharan Africa;152;3.515;0.32846;0.61586;0.31865;0.5432;0.50521;0.23552;0.96819
Benin;Sub-Saharan Africa;153;3.484;0.39499;0.10419;0.21028;0.39747;0.06681;0.2018;210.812
Afghanistan;Southern Asia;154;mar.36;0.38227;0.11037;0.17344;0.1643;0.07112;0.31268;214.558
Togo;Sub-Saharan Africa;155;3.303;0.28123;0;0.24811;0.34678;0.11587;0.17517;21.354
Syria;Middle East and Northern Africa;156;3.069;0.74719;0.14866;0.62994;0.06912;0.17233;0.48397;0.81789
Burundi;Sub-Saharan Africa;157;2.905;0.06831;0.23442;0.15747;0.0432;0.09419;0.2029;210.404
